race,year,stage,distance,vertical meters,profile score,startlist quality,time gap
giro-d-italia,2000,1,125.0,691.0,8.0,866.0,0
giro-d-italia,2000,2,225.0,2650.0,84.0,866.0,5.0
giro-d-italia,2000,3,177.0,2507.0,95.0,866.0,0
giro-d-italia,2000,4,233.0,2808.0,94.0,866.0,0
giro-d-italia,2000,5,232.0,1999.0,93.0,866.0,0
giro-d-italia,2000,6,170.0,1059.0,20.0,866.0,0
giro-d-italia,2000,7,182.0,2174.0,85.0,866.0,51.0
giro-d-italia,2000,8,255.0,4138.0,128.0,866.0,6.0
giro-d-italia,2000,9,140.0,3508.0,300.0,866.0,99.1
giro-d-italia,2000,10,257.0,1880.0,47.0,866.0,0
giro-d-italia,2000,11,42.0,23.0,0.0,866.0,11.0
giro-d-italia,2000,12,184.0,1700.0,115.0,866.0,1.0
giro-d-italia,2000,13,195.0,4602.0,336.0,866.0,0
giro-d-italia,2000,14,205.0,4776.0,305.0,866.0,0
giro-d-italia,2000,15,171.0,1807.0,73.0,866.0,0
giro-d-italia,2000,16,102.0,527.0,11.0,866.0,0
giro-d-italia,2000,17,224.0,949.0,12.0,866.0,24.0
giro-d-italia,2000,18,176.0,3725.0,273.0,866.0,0
giro-d-italia,2000,19,177.0,3955.0,287.0,866.0,54.0
giro-d-italia,2000,20,34.0,1304.0,178.0,866.0,74.1
giro-d-italia,2000,21,198.0,267.0,1.0,866.0,0
giro-d-italia,2001,1,202.0,2822.0,85.0,920.0,0
giro-d-italia,2001,2,167.0,1018.0,17.0,920.0,0
giro-d-italia,2001,3,149.0,1965.0,66.0,920.0,0
giro-d-italia,2001,4,169.0,2828.0,176.0,920.0,0
giro-d-italia,2001,5,229.0,1095.0,11.0,920.0,0
giro-d-italia,2001,6,150.0,1774.0,46.0,920.0,0
giro-d-italia,2001,7,239.0,2338.0,86.0,920.0,0
giro-d-italia,2001,8,185.0,4026.0,166.0,920.0,33.0
giro-d-italia,2001,9,142.0,153.0,0.0,920.0,0
giro-d-italia,2001,10,212.0,1400.0,24.0,920.0,3.0
giro-d-italia,2001,11,187.0,2648.0,108.0,920.0,10.0
giro-d-italia,2001,12,139.0,345.0,11.0,920.0,0
giro-d-italia,2001,13,225.0,5906.0,397.0,920.0,0
giro-d-italia,2001,14,163.0,3128.0,221.0,920.0,0
giro-d-italia,2001,15,55.5,540.0,19.0,920.0,28.0
giro-d-italia,2001,16,142.0,259.0,2.0,920.0,0
giro-d-italia,2001,17,119.0,2447.0,117.0,920.0,2.0
giro-d-italia,2001,18,230.0,6215.0,437.0,920.0,Error
giro-d-italia,2001,19,163.0,518.0,3.0,920.0,0
giro-d-italia,2001,20,181.0,3331.0,177.0,920.0,145.2
giro-d-italia,2001,21,121.0,219.0,1.0,920.0,0
giro-d-italia,2002,1,215.0,452.0,1.0,920.0,0
giro-d-italia,2002,2,209.0,2677.0,89.0,920.0,0
giro-d-italia,2002,3,206.0,2516.0,55.0,920.0,0
giro-d-italia,2002,4,232.0,1668.0,19.0,920.0,0
giro-d-italia,2002,5,150.0,1825.0,133.0,920.0,0
giro-d-italia,2002,6,190.0,2357.0,106.0,920.0,0
giro-d-italia,2002,7,159.0,1235.0,79.0,920.0,59.0
giro-d-italia,2002,8,237.0,2328.0,70.0,920.0,4.0
giro-d-italia,2002,9,201.0,1546.0,15.0,920.0,0
giro-d-italia,2002,10,118.0,1570.0,46.0,920.0,0
giro-d-italia,2002,11,140.0,2864.0,185.0,920.0,0
giro-d-italia,2002,12,200.0,3389.0,172.0,920.0,37.0
giro-d-italia,2002,13,190.0,3486.0,226.0,920.0,13.0
giro-d-italia,2002,14,30.3,471.0,35.0,920.0,31.0
giro-d-italia,2002,15,156.0,540.0,7.0,920.0,0
giro-d-italia,2002,16,163.0,4671.0,325.0,920.0,53.0
giro-d-italia,2002,17,222.0,4962.0,438.0,920.0,131.2
giro-d-italia,2002,18,143.0,1913.0,75.0,920.0,0
giro-d-italia,2002,19,44.3,364.0,15.0,920.0,44.0
giro-d-italia,2002,20,142.0,419.0,6.0,920.0,0
giro-d-italia,2002,21,Error,Error,Error,Error,Error
giro-d-italia,2003,1,201.0,1259.0,12.0,734.0,0
giro-d-italia,2003,2,177.0,1057.0,72.0,734.0,0
giro-d-italia,2003,3,145.0,1332.0,72.0,734.0,2.0
giro-d-italia,2003,4,170.0,1810.0,94.0,734.0,0
giro-d-italia,2003,5,176.0,2094.0,50.0,734.0,0
giro-d-italia,2003,6,218.0,2289.0,50.0,734.0,0
giro-d-italia,2003,7,146.0,2681.0,248.0,734.0,0
giro-d-italia,2003,8,214.0,1765.0,37.0,734.0,0
giro-d-italia,2003,9,160.0,1319.0,28.0,734.0,0
giro-d-italia,2003,10,211.0,3431.0,176.0,734.0,1.0
giro-d-italia,2003,11,222.0,168.0,0.0,734.0,0
giro-d-italia,2003,12,185.0,3321.0,389.0,734.0,34.0
giro-d-italia,2003,13,155.0,1064.0,59.0,734.0,0
