race,year,stage,distance,vertical meters,profile score,startlist quality,time gap
vuelta-a-espana,1994,1,9.0,65.0,5.0,791.0,20.0
vuelta-a-espana,1994,2,178.4,767.0,8.0,791.0,0
vuelta-a-espana,1994,3,239.0,1082.0,15.0,791.0,0
vuelta-a-espana,1994,4,235.6,894.0,14.0,791.0,0
vuelta-a-espana,1994,5,166.9,1547.0,25.0,791.0,0
vuelta-a-espana,1994,6,151.7,2767.0,292.0,791.0,54.0
vuelta-a-espana,1994,7,256.5,842.0,4.0,791.0,0
vuelta-a-espana,1994,8,39.5,403.0,25.0,791.0,53.0
vuelta-a-espana,1994,9,166.0,806.0,13.0,791.0,0
vuelta-a-espana,1994,10,205.0,3958.0,353.0,791.0,23.0
vuelta-a-espana,1994,11,195.3,4112.0,261.0,791.0,1.0
vuelta-a-espana,1994,12,226.7,1078.0,12.0,791.0,0
vuelta-a-espana,1994,13,201.6,969.0,5.0,791.0,0
vuelta-a-espana,1994,14,174.0,2417.0,151.0,791.0,37.0
vuelta-a-espana,1994,15,209.3,2095.0,69.0,791.0,0
vuelta-a-espana,1994,16,147.7,2424.0,256.0,791.0,9.0
vuelta-a-espana,1994,17,150.4,2228.0,169.0,791.0,23.0
vuelta-a-espana,1994,18,189.0,3357.0,136.0,791.0,1.0
vuelta-a-espana,1994,19,171.0,3433.0,156.0,791.0,409.6
vuelta-a-espana,1994,20,53.0,401.0,10.0,791.0,95.1
vuelta-a-espana,1994,21,165.7,1455.0,19.0,791.0,0
vuelta-a-espana,1994,22,Error,Error,Error,Error,Error
vuelta-a-espana,1995,1,186.6,1251.0,25.0,883.0,0
vuelta-a-espana,1995,2,223.5,2590.0,86.0,883.0,13.0
vuelta-a-espana,1995,3,206.0,2722.0,109.0,883.0,10.0
vuelta-a-espana,1995,4,82.6,2429.0,64.0,883.0,0
vuelta-a-espana,1995,5,179.8,3101.0,88.0,883.0,0
vuelta-a-espana,1995,6,264.0,3390.0,65.0,883.0,0
vuelta-a-espana,1995,7,41.0,207.0,4.0,883.0,23.0
vuelta-a-espana,1995,8,219.8,3790.0,137.0,883.0,196.3
vuelta-a-espana,1995,9,122.5,2247.0,125.0,883.0,70.1
vuelta-a-espana,1995,10,162.5,775.0,8.0,883.0,0
vuelta-a-espana,1995,11,187.0,2465.0,65.0,883.0,0
vuelta-a-espana,1995,12,238.0,4251.0,265.0,883.0,0
vuelta-a-espana,1995,13,181.0,1311.0,16.0,883.0,0
vuelta-a-espana,1995,14,207.0,1781.0,29.0,883.0,0
vuelta-a-espana,1995,15,154.0,3099.0,146.0,883.0,5.0
vuelta-a-espana,1995,16,197.3,3736.0,215.0,883.0,200.3
vuelta-a-espana,1995,17,179.2,3845.0,419.0,883.0,5.0
vuelta-a-espana,1995,18,157.8,3097.0,108.0,883.0,0
vuelta-a-espana,1995,19,227.7,1955.0,74.0,883.0,0
vuelta-a-espana,1995,20,41.6,376.0,17.0,883.0,64.1
vuelta-a-espana,1995,21,171.2,1664.0,17.0,883.0,0
vuelta-a-espana,1995,22,Error,Error,Error,Error,Error
vuelta-a-espana,1996,1,162.0,862.0,9.0,988.0,0
vuelta-a-espana,1996,2,210.0,2390.0,38.0,988.0,0
vuelta-a-espana,1996,3,167.0,872.0,11.0,988.0,0
vuelta-a-espana,1996,4,166.5,917.0,15.0,988.0,0
vuelta-a-espana,1996,5,208.0,1247.0,13.0,988.0,0
vuelta-a-espana,1996,6,196.5,2027.0,49.0,988.0,0
vuelta-a-espana,1996,7,171.0,2093.0,75.0,988.0,0
vuelta-a-espana,1996,8,220.0,1842.0,31.0,988.0,0
vuelta-a-espana,1996,9,203.5,1408.0,21.0,988.0,0
vuelta-a-espana,1996,10,46.5,971.0,65.0,988.0,2.0
vuelta-a-espana,1996,11,188.0,2018.0,41.0,988.0,0
vuelta-a-espana,1996,12,191.7,1935.0,124.0,988.0,0
vuelta-a-espana,1996,13,159.0,3051.0,306.0,988.0,0
vuelta-a-espana,1996,14,202.6,3067.0,104.0,988.0,0
vuelta-a-espana,1996,15,220.0,4265.0,274.0,988.0,2.0
vuelta-a-espana,1996,16,220.9,2213.0,44.0,988.0,0
vuelta-a-espana,1996,17,165.7,3535.0,337.0,988.0,37.0
vuelta-a-espana,1996,18,219.5,1791.0,31.0,988.0,0
vuelta-a-espana,1996,19,217.1,3307.0,114.0,988.0,7.0
vuelta-a-espana,1996,20,209.5,4056.0,161.0,988.0,7.0
vuelta-a-espana,1996,21,43.0,591.0,32.0,988.0,13.0
vuelta-a-espana,1996,22,157.6,1368.0,12.0,988.0,0
vuelta-a-espana,1997,1,160.0,1959.0,76.0,1165.0,0
vuelta-a-espana,1997,2,224.0,1648.0,22.0,1165.0,0
vuelta-a-espana,1997,3,173.0,748.0,12.0,1165.0,0
vuelta-a-espana,1997,4,193.0,1003.0,15.0,1165.0,0
vuelta-a-espana,1997,5,229.0,2771.0,55.0,1165.0,0
vuelta-a-espana,1997,6,147.0,2169.0,112.0,1165.0,0
vuelta-a-espana,1997,7,219.2,5218.0,316.0,1165.0,42.0
vuelta-a-espana,1997,8,175.0,1863.0,47.0,1165.0,2.0
vuelta-a-espana,1997,9,38.0,238.0,0.0,1165.0,21.0
vuelta-a-espana,1997,10,235.0,1345.0,14.0,1165.0,0
vuelta-a-espana,1997,11,198.0,1501.0,26.0,1165.0,0
vuelta-a-espana,1997,12,147.0,2454.0,249.0,1165.0,29.0
vuelta-a-espana,1997,13,196.0,3887.0,294.0,1165.0,32.0
vuelta-a-espana,1997,14,160.0,2677.0,176.0,1165.0,78.1
vuelta-a-espana,1997,15,159.0,2995.0,291.0,1165.0,18.0
vuelta-a-espana,1997,16,169.0,2070.0,51.0,1165.0,0
vuelta-a-espana,1997,17,195.0,2083.0,29.0,1165.0,0
vuelta-a-espana,1997,18,185.0,830.0,6.0,1165.0,0
vuelta-a-espana,1997,19,184.0,2538.0,134.0,1165.0,1.0
vuelta-a-espana,1997,20,190.0,2978.0,115.0,1165.0,0
vuelta-a-espana,1997,21,43.0,477.0,21.0,1165.0,31.0
vuelta-a-espana,1997,22,154.0,1159.0,5.0,1165.0,0
vuelta-a-espana,1998,1,162.0,1117.0,42.0,1309.0,0
vuelta-a-espana,1998,2,235.0,686.0,6.0,1309.0,0
vuelta-a-espana,1998,3,193.0,1084.0,23.0,1309.0,0
vuelta-a-espana,1998,4,174.0,2300.0,48.0,1309.0,0
vuelta-a-espana,1998,5,166.0,662.0,5.0,1309.0,0
vuelta-a-espana,1998,6,202.0,1959.0,137.0,1309.0,27.0
vuelta-a-espana,1998,7,186.0,1594.0,35.0,1309.0,0
vuelta-a-espana,1998,8,182.0,1954.0,120.0,1309.0,0
vuelta-a-espana,1998,9,40.0,119.0,2.0,1309.0,41.0
vuelta-a-espana,1998,10,200.0,4219.0,355.0,1309.0,16.0
vuelta-a-espana,1998,11,186.0,3709.0,209.0,1309.0,0
vuelta-a-espana,1998,12,166.0,2221.0,71.0,1309.0,108.1
vuelta-a-espana,1998,13,208.5,1942.0,47.0,1309.0,140.2
vuelta-a-espana,1998,14,145.5,731.0,14.0,1309.0,0
vuelta-a-espana,1998,15,178.8,1284.0,27.0,1309.0,3.0
vuelta-a-espana,1998,16,143.7,2459.0,212.0,1309.0,33.0
vuelta-a-espana,1998,17,188.5,627.0,2.0,1309.0,0
vuelta-a-espana,1998,18,223.0,751.0,6.0,1309.0,0
vuelta-a-espana,1998,19,170.4,2417.0,117.0,1309.0,30.0
vuelta-a-espana,1998,20,209.0,3963.0,212.0,1309.0,0
vuelta-a-espana,1998,21,39.0,116.0,0.0,1309.0,1.0
vuelta-a-espana,1998,22,163.0,944.0,5.0,1309.0,0
vuelta-a-espana,1999,1,179.0,908.0,17.0,1342.0,0
vuelta-a-espana,1999,2,206.0,1735.0,21.0,1342.0,0
vuelta-a-espana,1999,3,222.8,755.0,12.0,1342.0,0
vuelta-a-espana,1999,4,185.0,1607.0,27.0,1342.0,0
vuelta-a-espana,1999,5,160.0,2728.0,141.0,1342.0,0
vuelta-a-espana,1999,6,46.4,193.0,3.0,1342.0,57.0
vuelta-a-espana,1999,7,217.0,564.0,1.0,1342.0,0
vuelta-a-espana,1999,8,175.6,4200.0,496.0,1342.0,0
vuelta-a-espana,1999,9,185.8,2076.0,94.0,1342.0,3.0
vuelta-a-espana,1999,10,183.2,584.0,4.0,1342.0,0
vuelta-a-espana,1999,11,201.0,3245.0,178.0,1342.0,0
vuelta-a-espana,1999,12,147.0,4730.0,407.0,1342.0,40.0
vuelta-a-espana,1999,1,179.0,908.0,17.0,1342.0,0
vuelta-a-espana,1999,2,206.0,1735.0,21.0,1342.0,0
vuelta-a-espana,1999,3,222.8,755.0,12.0,1342.0,0
