,race,year,stage,distance,vert_meters,profile_score,startlist_qual,time_gap
0,tour-de-france,2000,1,16.5,205.0,0.0,1437.0,"[2.0, 13.0, 14.0, 16.0, 20.0, 21.0, 27.0, 33.0, 36.0, 39.0, 40.0, 44.0, 0, 49.0, 53.0]"
1,tour-de-france,2000,2,194.0,1383.0,24.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,tour-de-france,2000,3,161.5,1331.0,22.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,tour-de-france,2000,4,70.0,202.0,0.0,1437.0,"[62.6, 62.7, 62.7, 62.7, 62.7, 62.8, 62.8, 62.9, 62.9, 62.9, 62.9, 63.0, 63.0, 63.0, 63.0]"
4,tour-de-france,2000,5,202.0,2014.0,40.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,tour-de-france,2000,6,198.5,1522.0,17.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.0, 469.7, 0, 0, 0]"
6,tour-de-france,2000,7,205.5,1997.0,43.0,1437.0,"[71.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,tour-de-france,2000,8,203.5,2570.0,70.0,1437.0,"[52.0, 56.0, 58.0, 0, 0, 0, 96.1, 0, 103.1, 120.2, 123.2, 0, 0, 0, 0]"
8,tour-de-france,2000,9,181.0,1762.0,33.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,tour-de-france,2000,10,205.0,5202.0,459.0,1437.0,"[42.0, 73.1, 117.1, 0, 122.2, 0, 185.3, 215.3, 227.3, 0, 235.3, 241.4, 258.4, 292.4, 0]"
10,tour-de-france,2000,11,218.5,2632.0,87.0,1437.0,"[0, 291.4, 0, 0, 0, 0, 0, 0, 305.5, 0, 0, 0, 0, 0, 0]"
11,tour-de-france,2000,12,149.0,3830.0,386.0,1437.0,"[0, 25.0, 29.0, 48.0, 0, 77.1, 83.1, 89.1, 91.1, 96.1, 121.2, 136.2, 146.2, 192.3, 0]"
12,tour-de-france,2000,13,185.5,2270.0,54.0,1437.0,"[25.0, 27.0, 57.0, 0, 240.4, 0, 0, 0, 0, 0, 661.0, 0, 0, 0, 0]"
13,tour-de-france,2000,14,249.0,6425.0,346.0,1437.0,"[150.2, 166.2, 169.2, 0, 0, 171.2, 0, 0, 0, 175.2, 177.2, 196.3, 201.3, 206.3, 245.4]"
14,tour-de-france,2000,15,173.5,5231.0,461.0,1437.0,"[41.0, 50.0, 0, 60.1, 69.1, 137.2, 141.2, 0, 0, 146.2, 162.2, 196.3, 200.3, 201.3, 216.3]"
15,tour-de-france,2000,16,196.0,4992.0,354.0,1437.0,"[24.0, 27.0, 69.1, 71.1, 0, 121.2, 0, 0, 0, 125.2, 133.2, 145.2, 0, 0, 0]"
16,tour-de-france,2000,17,155.0,2455.0,111.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,tour-de-france,2000,18,246.5,2137.0,44.0,1437.0,"[0, 65.1, 76.1, 0, 1251.5, 0, 0, 0, 1271.5, 1301.5, 0, 0, 0, 0, 0]"
18,tour-de-france,2000,19,58.5,235.0,4.0,1437.0,"[25.0, 132.2, 181.3, 206.3, 227.3, 236.3, 237.3, 239.3, 256.4, 268.4, 275.4, 282.4, 292.4, 296.4, 298.4]"
19,tour-de-france,2000,20,254.5,2404.0,41.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,tour-de-france,2000,21,138.0,402.0,0.0,1437.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,tour-de-france,2001,1,194.5,1885.0,60.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,tour-de-france,2001,2,220.5,1044.0,7.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0, 0, 0]"
23,tour-de-france,2001,3,198.5,2098.0,114.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,tour-de-france,2001,4,215.0,2901.0,87.0,1496.0,"[0, 7.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,tour-de-france,2001,5,67.0,731.0,33.0,1496.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 62.2, nan, nan, nan, nan, nan]"
26,tour-de-france,2001,6,211.5,2541.0,75.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,tour-de-france,2001,7,162.0,3300.0,213.0,1496.0,"[11.0, 0, 13.0, 96.1, 268.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,tour-de-france,2001,8,222.5,2250.0,133.0,1496.0,"[0, 0, 4.0, 152.2, 0, 0, 0, 0, 0, 0, 156.2, 160.2, 563.9, 2643.5, 0]"
29,tour-de-france,2001,9,185.0,2500.0,157.0,1496.0,"[16.0, 17.0, 24.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,tour-de-france,2001,10,209.0,5864.0,431.0,1496.0,"[119.1, 129.2, 150.2, 174.2, 241.4, 243.4, 0, 0, 247.4, 277.4, 279.4, 307.5, 309.5, 378.6, 0]"
31,tour-de-france,2001,11,32.0,1863.0,327.0,1496.0,"[60.1, 95.1, 123.2, 144.2, 151.2, 163.2, 180.3, 187.3, 188.3, 226.3, 228.3, 231.3, 241.4, 243.4, 250.4]"
32,tour-de-france,2001,12,166.0,4000.0,414.0,1496.0,"[13.0, 15.0, 38.0, 59.0, 61.1, 0, 95.1, 0, 0, 0, 0, 0, 0, 0, 99.1]"
33,tour-de-france,2001,13,194.0,5500.0,599.0,1496.0,"[60.1, 106.1, 0, 149.2, 172.2, 192.3, 195.3, 205.3, 242.4, 286.4, 346.5, 363.6, 0, 419.6, 0]"
34,tour-de-france,2001,14,141.5,5174.0,547.0,1496.0,"[54.0, 68.1, 0, 89.1, 99.1, 0, 121.2, 147.2, 150.2, 162.2, 185.3, 207.3, 0, 229.3, 235.3]"
35,tour-de-france,2001,15,232.5,3300.0,108.0,1496.0,"[0, 6.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,tour-de-france,2001,16,227.5,3500.0,188.0,1496.0,"[5.0, 119.1, 0, 175.2, 224.3, 399.6, 1952.5, 0, 0, 0, 0, 0, 0, 0, 0]"
37,tour-de-france,2001,17,194.0,3000.0,123.0,1496.0,"[0, 5.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,tour-de-france,2001,18,61.0,541.0,24.0,1496.0,"[84.1, 99.1, 145.2, 0, 152.2, 157.2, 163.2, 177.2, 181.3, 197.3, 204.3, 247.4, 268.4, 275.4, 278.4]"
39,tour-de-france,2001,19,149.5,1022.0,22.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,tour-de-france,2001,20,160.5,1873.0,26.0,1496.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,tour-de-france,2001,21,,,,,
42,tour-de-france,2002,1,192.5,3000.0,165.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,tour-de-france,2002,2,181.0,2860.0,99.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,tour-de-france,2002,3,174.5,1351.0,21.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,tour-de-france,2002,4,67.5,763.0,34.0,1489.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 62.0, nan, nan, nan, nan, nan]"
46,tour-de-france,2002,5,195.0,1503.0,22.0,1489.0,"[0, 0, 3.0, 8.0, 33.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,tour-de-france,2002,6,199.5,2081.0,36.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,tour-de-france,2002,7,176.0,2234.0,70.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,tour-de-france,2002,8,217.5,2436.0,89.0,1489.0,"[0, 0, 0, 0, 0, 0, 115.1, 0, 0, 0, 0, 0, 0, 0, 0]"
50,tour-de-france,2002,9,52.0,616.0,24.0,1489.0,"[11.0, 18.0, 19.0, 25.0, 0, 50.0, 94.1, 0, 98.1, 101.1, 116.1, 128.2, 134.2, 141.2, 0]"
51,tour-de-france,2002,10,147.0,1183.0,54.0,1489.0,"[27.0, 33.0, 0, 60.1, 0, 0, 0, 0, 62.1, 209.3, 237.3, 0, 0, 0, 0]"
52,tour-de-france,2002,11,158.0,4000.0,393.0,1489.0,"[7.0, 13.0, 76.1, 0, 83.1, 0, 94.1, 109.1, 112.1, 114.1, 117.1, 0, 119.1, 0, 122.2]"
53,tour-de-france,2002,12,199.5,5000.0,557.0,1489.0,"[64.1, 0, 71.1, 0, 83.1, 93.1, 97.1, 127.2, 159.2, 167.2, 0, 0, 0, 197.3, 0]"
54,tour-de-france,2002,13,171.0,2180.0,62.0,1489.0,"[0, 0, 0, 4.0, 56.0, 0, 66.1, 0, 68.1, 70.1, 596.9, 0, 0, 0, 0]"
55,tour-de-france,2002,14,221.0,4000.0,380.0,1489.0,"[118.1, 140.2, 174.2, 216.3, 219.3, 231.3, 245.4, 250.4, 256.4, 265.4, 285.4, 325.5, 346.5, 0, 352.5]"
56,tour-de-france,2002,15,226.5,4619.0,281.0,1489.0,"[111.1, 150.2, 262.4, 268.4, 315.5, 401.6, 0, 0, 406.6, 412.6, 0, 0, 415.6, 0, 0]"
57,tour-de-france,2002,16,179.5,5161.0,370.0,1489.0,"[85.1, 0, 122.2, 0, 130.2, 134.2, 0, 143.2, 145.2, 171.2, 279.4, 304.5, 324.5, 354.5, 0]"
58,tour-de-france,2002,17,142.0,4000.0,382.0,1489.0,"[0, 2.0, 175.2, 178.2, 0, 0, 0, 0, 0, 0, 194.3, 276.4, 0, 0, 0]"
59,tour-de-france,2002,18,176.5,3814.0,193.0,1489.0,"[0, 5.0, 33.0, 0, 0, 40.0, 0, 0, 419.6, 1081.1, 0, 0, 0, 0, 0]"
60,tour-de-france,2002,19,50.0,857.0,63.0,1489.0,"[52.0, 66.1, 74.1, 102.1, 103.1, 129.2, 130.2, 131.2, 149.2, 166.2, 174.2, 181.3, 192.3, 202.3, 216.3]"
61,tour-de-france,2002,20,140.0,1423.0,16.0,1489.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,tour-de-france,2002,21,,,,,
63,tour-de-france,2003,1,168.0,1476.0,31.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,tour-de-france,2003,2,204.5,2461.0,73.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,tour-de-france,2003,3,167.5,1605.0,32.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,tour-de-france,2003,4,69.0,592.0,21.0,1688.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
67,tour-de-france,2003,5,196.5,2316.0,49.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,tour-de-france,2003,6,230.0,2000.0,69.0,1688.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,tour-de-france,2003,7,230.5,4500.0,340.0,1688.0,"[149.2, 225.3, 243.4, 246.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
