,race,year,stage,distance,vert_meters,profile_score,startlist_qual,time_gap
0,vuelta-a-espana,2000,1,13.300000190734863,146.0,11.0,981.0,"[2.0, 4.0, 15.0, 21.0, 28.0, 30.0, 32.0, 33.0, 34.0, 0, 36.0, 38.0, 0, 40.0, 0]"
1,vuelta-a-espana,2000,2,167.5,1495.0,20.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,vuelta-a-espana,2000,3,198.0,1495.0,20.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,vuelta-a-espana,2000,4,159.0,596.0,2.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,vuelta-a-espana,2000,5,152.0,1113.0,132.0,981.0,"[3.0, 9.0, 0, 32.0, 0, 41.0, 0, 0, 0, 0, 47.0, 0, 0, 0, 0]"
5,vuelta-a-espana,2000,6,155.5,794.0,12.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,vuelta-a-espana,2000,7,175.0,1530.0,74.0,981.0,"[2.0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,vuelta-a-espana,2000,8,170.0,1269.0,29.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,vuelta-a-espana,2000,9,38.0,167.0,4.0,981.0,"[13.0, 15.0, 43.0, 55.0, 61.1, 96.1, 106.1, 0, 109.1, 119.1, 0, 120.2, 122.2, 124.2, 137.2]"
9,vuelta-a-espana,2000,10,165.8000030517578,3321.0,227.0,981.0,"[0, 2.0, 15.0, 0, 17.0, 40.0, 57.0, 101.1, 127.2, 141.2, 143.2, 0, 0, 153.2, 0]"
10,vuelta-a-espana,2000,11,136.5,3628.0,379.0,981.0,"[50.0, 64.1, 110.1, 0, 120.2, 157.2, 160.2, 162.2, 177.2, 0, 0, 179.2, 185.3, 206.3, 0]"
11,vuelta-a-espana,2000,12,132.0,392.0,1.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,vuelta-a-espana,2000,13,143.3000030517578,1447.0,62.0,981.0,"[23.0, 0, 0, 0, 132.2, 0, 140.2, 0, 0, 0, 0, 0, 0, 0, 0]"
13,vuelta-a-espana,2000,14,146.5,2412.0,258.0,981.0,"[57.0, 60.1, 86.1, 95.1, 97.1, 118.1, 0, 120.2, 122.2, 134.2, 135.2, 0, 0, 138.2, 139.2]"
14,vuelta-a-espana,2000,15,164.0,2193.0,75.0,981.0,"[0, 0, 0, 0, 16.0, 316.5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,vuelta-a-espana,2000,16,168.0,4005.0,404.0,981.0,"[139.2, 178.2, 191.3, 267.4, 0, 284.4, 316.5, 0, 346.5, 0, 348.5, 399.6, 0, 412.6, 0]"
16,vuelta-a-espana,2000,17,155.5,632.0,4.0,981.0,"[9.0, 0, 0, 0, 57.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,vuelta-a-espana,2000,18,160.0,2713.0,143.0,981.0,"[0, 0, 61.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,vuelta-a-espana,2000,19,130.0,919.0,22.0,981.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,vuelta-a-espana,2000,20,125.0,2376.0,172.0,981.0,"[0, 3.0, 45.0, 0, 0, 0, 47.0, 48.0, 0, 0, 0, 63.1, 64.1, 68.1, 89.1]"
20,vuelta-a-espana,2000,21,38.0,334.0,11.0,981.0,"[6.0, 61.1, 65.1, 79.1, 88.1, 110.1, 119.1, 0, 123.2, 133.2, 147.2, 153.2, 0, 158.2, 159.2]"
21,vuelta-a-espana,2000,22,,,,,
22,vuelta-a-espana,2001,1,12.300000190734863,95.0,2.0,971.0,"[1.0, 6.0, 17.0, 23.0, 24.0, 25.0, 26.0, 0, 28.0, 30.0, 31.0, 32.0, 33.0, 0, 34.0]"
23,vuelta-a-espana,2001,2,147.1999969482422,673.0,12.0,971.0,"[0, 0, 0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,vuelta-a-espana,2001,3,140.5,567.0,3.0,971.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,vuelta-a-espana,2001,4,175.0,1942.0,50.0,971.0,"[0, 0, 0, 0, 0, 0, 0, 0, 4.0, 5.0, 16.0, 0, 0, 18.0, 21.0]"
26,vuelta-a-espana,2001,5,160.8000030517578,2946.0,282.0,971.0,"[33.0, 58.0, 77.1, 81.1, 0, 0, 0, 0, 0, 0, 0, 97.1, 126.2, 130.2, 151.2]"
27,vuelta-a-espana,2001,6,180.60000610351562,2382.0,107.0,971.0,"[0, 58.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,vuelta-a-espana,2001,7,44.20000076293945,516.0,33.0,971.0,"[29.0, 44.0, 64.1, 86.1, 87.1, 106.1, 109.1, 0, 140.2, 154.2, 160.2, 167.2, 168.2, 169.2, 0]"
29,vuelta-a-espana,2001,8,195.0,2472.0,163.0,971.0,"[23.0, 28.0, 30.0, 0, 47.0, 48.0, 57.0, 60.1, 62.1, 71.1, 96.1, 0, 0, 0, 0]"
